<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,1,20190114,100000,1985,1988.5,1981,1981,455
YNDX,1,20190114,100100,1983.5,1984.5,1982,1982,142
YNDX,1,20190114,100200,1984,1989.5,1982,1985.5,673
YNDX,1,20190114,100300,1986.5,1990,1984.5,1987.5,1200
YNDX,1,20190114,100400,1988.5,1989,1986,1988,215
YNDX,1,20190114,100500,1986,1987.5,1985,1985,295
YNDX,1,20190114,100600,1985,1987,1984,1985,146
YNDX,1,20190114,100700,1985,1986,1984,1984,241
YNDX,1,20190114,100800,1985,1987,1984,1987,146
YNDX,1,20190114,100900,1987.5,1988.5,1987.5,1988,75
YNDX,1,20190114,101000,1988,1989,1987.5,1988,628
YNDX,1,20190114,101100,1986.5,1986.5,1985.5,1986,92
YNDX,1,20190114,101200,1986,1987.5,1984,1985,1827
YNDX,1,20190114,101300,1984,1986,1984,1986,1297
YNDX,1,20190114,101400,1985,1986,1984.5,1984.5,149
YNDX,1,20190114,101500,1984.5,1986,1984.5,1985,93
YNDX,1,20190114,101600,1985,1986,1984.5,1986,150
YNDX,1,20190114,101700,1984.5,1986.5,1984.5,1984.5,513
YNDX,1,20190114,101800,1984.5,1986,1984.5,1986,174
YNDX,1,20190114,101900,1984.5,1986,1984.5,1986,15
YNDX,1,20190114,102000,1984.5,1984.5,1984,1984,84
YNDX,1,20190114,102100,1984,1986,1984,1984.5,53
YNDX,1,20190114,102200,1984.5,1985.5,1984.5,1984.5,11
YNDX,1,20190114,102300,1985.5,1985.5,1984,1984,70
YNDX,1,20190114,102400,1985,1985,1984,1984,159
YNDX,1,20190114,102500,1984,1985,1984,1985,252
YNDX,1,20190114,102600,1986,1986,1984,1984,216
YNDX,1,20190114,102700,1984,1985.5,1984,1985.5,223
YNDX,1,20190114,102800,1984,1986,1984,1984.5,329
YNDX,1,20190114,102900,1984.5,1985,1984,1985,28
YNDX,1,20190114,103000,1984,1985,1983.5,1985,265
YNDX,1,20190114,103100,1983.5,1985,1983,1985,40
YNDX,1,20190114,103200,1985,1985,1983,1983,10
YNDX,1,20190114,103300,1985,1985,1983,1984.5,80
YNDX,1,20190114,103400,1984.5,1984.5,1983,1983,129
YNDX,1,20190114,103500,1984.5,1984.5,1983,1983,116
YNDX,1,20190114,103600,1983,1983.5,1983,1983.5,134
YNDX,1,20190114,103700,1983,1984.5,1982,1982.5,367
YNDX,1,20190114,103800,1984.5,1985,1984,1985,508
YNDX,1,20190114,103900,1984,1988,1982.5,1988,1110
